iso3,year,lays,lays_male,lays_female,pcr_modelled_pct,pcr_pct,pcr_wpia,general_public_services_pct,defense_pct,public_order_safety_pct,economic_affairs_pct,environmental_protection_pct,housing_community_amenities_pct,health_pct,recreation_culture_religion_pct,education_pct,social_protection_pct,sector_sum_pct,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal,fsi_total,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct,debt_pct_gdp,gdp_growth_pct,gdppc_2015_usd,inflation_pct,income_group,lang_frac
AFW,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5856736208091,1816.34604380299,3.60804426950566,Aggregates,
AGO,2000,,,,,,,1.07916568597651,0.2412436844975558,0.0990787488794368,0.1070909131879156,0.0001669638617869,0.0343359735139417,0.0732943031272231,0.0,0.0946675687786188,0.0444850053084969,1.7735288471314858,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2001,,,,,,,0.7448829078898358,0.1302318050231022,0.0886653797264005,0.1092034101426588,0.0065599646155572,0.0358696930272936,0.0800662386465169,0.0199864020356704,0.0943363211142758,0.0372717059461882,1.3470738281674997,0.0,0.0,1.0,0.0,0.1724997824630328,0.0,0.0894041294606893,0.0,0.1783304691634857,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2002,,,,,,,0.8320716989216597,0.1136431461889118,0.0965825276666904,0.1009351112023614,0.0037712878371301,0.0222424591992192,0.0551718291794615,0.0081940423123616,0.0832275332607298,0.0452542104132447,1.3610938461817703,,,1.0,,0.0479391722129657,,0.0585540770994161,,0.0225552403733532,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2003,,,,,,,0.763070775937778,0.0928128187256654,0.0720027193341094,0.1055686138246931,0.0023383264894993,0.0086363560854606,0.0404924468748781,0.0122667254575398,0.0652770564625585,0.0306548653439462,1.193120704536129,,,1.0,,0.0634341954387461,,0.0140243271830763,,0.1501693523142108,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2004,,,,,,,0.6231704312812716,0.1933925245712247,0.1730984619305295,0.0753186414654105,0.0107279907095144,0.0191633243288395,0.0718943148203207,0.0234272031787561,0.1083333598937583,0.0482862395789974,1.346812491758623,,,1.0,,0.0436594483597347,,0.0232059606671712,,0.0824606776507248,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2005,,,,,,,0.439059049924895,0.1555399259277658,0.1189139641574578,0.1047465313133637,0.0129275184742636,0.0214935947767701,0.0499832203877745,0.0199731412274864,0.0726365738192695,0.161122143362325,1.1563956633713717,,,1.0,,0.0576584650332948,,0.0262041453193513,,0.1334296383049078,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2006,,,,,,,0.4442951050070716,0.1408544666921661,0.1111251456578397,0.1924658204427997,0.0088874736285925,0.0587686334857366,0.0618851329938356,0.0239101582293343,0.0760743608996539,0.1564173953264959,1.274683692363526,,,1.0,,0.0376163947432217,,0.0238255316326305,,0.0908289093699491,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2007,,,,,,,0.2561318955212492,0.0985776596556372,0.1027181515297948,0.2413642259467432,0.0081798633612248,0.0512445669040413,0.0584516394179658,0.0253920675818306,0.0928456980085963,0.1769017523334775,1.1118075202605613,,,1.0,,0.034438822412754,,0.019338599428861,,0.0903894485564016,,,,,,,,,,,,,,,,,,,,,0.79
AGO,2008,,,,,,,0.2700077350574664,0.0997650055911013,0.095978610884571,0.297893037607513,0.0081041845950445,0.0316208019274586,0.0507995695272366,0.0442012292015234,0.0751376756152313,0.099485450525059,1.0729933005322054,,,1.0,,0.0280707876309193,,0.2252650945976189,,0.107071590183287,,,,,,,,,,,,,,,,,,,,,0.79
