iso3,year,all_staff_pcttotal,capex_pcttotal,currex_pcttotal,expenditure_pctbudget_imf,expenditure_pctbudget_uis,expenditure_pctgdp,expenditure_perchild_ppp,lang_match_pct,teaching_staff_pcttotal
AUS,2020,,,,0.144562529,0.1216913986206055,0.053862500190734866,,,
AUS,2021,,,,0.1314539561,0.121088399887085,0.05341090202331543,,,
AUS,2022,,,,0.1394469367,0.1264196968078613,0.050591502189636234,13241.615234375002,,
AUS,2023,,,,,,,,0.791720962524414,
AUT,2010,0.7019281005859375,0.049172801971435545,0.9508271789550782,0.09688781020000001,0.1075069046020508,0.05736259937286377,16401.53515625,,0.5960948944091797
AUT,2011,0.6966162109375,0.04071360111236572,0.9592864227294922,0.09800729973,0.1096181964874268,0.05627870082855225,16610.396484375,,0.5868516159057617
AUT,2012,0.6842957305908203,0.039797298908233636,0.9602027130126953,0.09769861151,0.1065845966339111,0.05516129970550537,14450.2373046875,,0.5871894073486328
AUT,2013,0.6798860931396484,0.04549139976501465,0.9545085906982422,0.09733558934,0.1067006969451904,0.055940499305725096,15375.54296875,,0.5869577026367189
AUT,2014,0.6886692047119141,0.04981210231781006,0.9501879119873047,0.09422002081,0.1049254035949707,0.0549767017364502,15204.23828125,,0.5969076156616211
AUT,2015,0.6828105163574218,0.05489789962768555,0.9451020812988281,0.09650598844,0.107222204208374,0.05491439819335939,15597.373046875,,0.5906568908691406
AUT,2016,0.6756356048583985,0.06246240139007568,0.937537612915039,0.09778713379,0.1087989044189453,0.055095400810241696,15868.431640625,,0.5805242156982422
AUT,2017,0.6763329315185547,0.06694330215454102,0.9330567169189453,0.09819411405,0.1084245014190674,0.054018101692199706,15937.798828125,,0.5790933990478516
AUT,2018,0.6762822723388672,0.07107150077819824,0.9289285278320313,0.09811631734000001,0.10681150436401371,0.05254370212554932,15892.356445312502,,0.5812976837158204
AUT,2019,0.6799925231933593,0.06863770008087158,0.9313623046875,0.0988143854,0.1067115020751953,0.05236780166625977,15903.6962890625,,0.5604837036132814
AUT,2020,0.6872686004638672,0.06847579956054689,0.9315242004394532,0.08949473803,0.09735380172729492,0.05579619884490967,15772.939453125,,0.5854198074340821
AUT,2021,0.6667942810058594,0.07235529899597168,0.9276447296142578,0.08811324045999999,0.09782340049743653,0.05480710029602051,16269.0,,0.5610451889038086
AUT,2022,0.6574653625488281,0.0783705997467041,0.921629409790039,0.08977275452000001,0.0995557975769043,0.052774901390075686,16667.490234375,,0.5527127075195313
AZE,2010,0.6484734344482422,0.025365700721740717,0.9746343231201172,0.09186688554,0.0870083999633789,0.02780620098114014,,,
AZE,2011,0.6267993927001954,0.027520699501037603,0.9724793243408203,0.07776550008,0.07219860076904297,0.024356400966644293,,,
AZE,2012,0.52845458984375,0.01700549960136414,0.9829945373535156,0.07737988767,0.05643670082092285,0.02067630052566528,,,
AZE,2013,0.6451952362060547,0.0435830020904541,0.9564170074462891,0.07118692456,0.0646412992477417,0.02442130088806152,,,
AZE,2014,0.5313010025024414,0.03885629892349243,0.9611437225341797,0.07699596688,0.0723872995376587,0.026330399513244628,,,
AZE,2015,0.5196586990356445,0.021834099292755132,0.9781658935546875,0.08266282672000001,0.07627110004425049,0.02951679944992065,,,
AZE,2016,0.560889892578125,0.019522900581359862,0.980477066040039,0.09445950809999999,0.08195779800415039,0.02903409957885742,,,
AZE,2017,0.5917626953125,0.01294929981231689,0.9870507049560547,0.07820628132,0.06954559803009033,0.02473819971084595,,,
AZE,2018,0.6946267700195312,0.01343440055847168,0.9865656280517578,0.08454236292999999,0.07399650096893312,0.02455430030822754,,,
AZE,2019,0.6168503952026367,0.1409097957611084,0.8590901947021484,0.08593153371,0.09767569541931152,0.031764600276947025,2259.49365234375,,0.6168503952026367
AZE,2020,0.6995384979248047,0.10631369590759279,0.8936862945556641,0.09802010934,0.10787850379943849,0.0433204984664917,2791.618408203125,,0.6995384979248047
AZE,2021,0.6545197296142579,0.09556099891662598,0.9044390106201172,0.10788627399999999,0.1150881958007813,0.037020800113677976,2737.426513671875,,0.6545197296142579
AZE,2022,0.6692225646972656,0.09586179733276368,0.90413818359375,0.10365237869999999,0.1163961029052734,0.03046890020370483,2112.219970703125,,0.6692225646972656
AZE,2023,0.6825029754638672,0.08449099540710449,0.915509033203125,,0.1118455028533936,0.03660360097885132,2157.65234375,0.8241391754150391,0.6825029754638672
AZE,2024,,,,,0.11449600762915081,,,,
AZE,2025,,,,,0.1192361606564979,,,,
BDI,2010,0.6847868347167969,0.0785703992843628,0.9214295959472656,0.1496105442,0.1658810043334961,0.06775239944458007,,,0.5992277908325195
BDI,2011,0.7193609619140625,0.04388659954071045,0.9561134338378906,0.14951015569999998,0.14979299545288088,0.06319260120391845,156.7218170166016,,0.6542745971679688
