iso3,year,sap,pop_total,sap_share,hh_exp_pct,private_enrolment_pct
AUT,2022,344945.0,9041851.0,0.03814982131424196,0.2159000039100647,6.296229839324951
AUT,2023,356420.0,9131761.0,0.039030806872847414,,6.167449951171875
AUT,2024,363741.0,9177982.0,0.039631914728096004,,6.013810157775879
AZE,2010,513587.0,9054332.0,0.05672279302327328,0.7594854831695557,0.3185499906539917
AZE,2011,505132.0,9173082.0,0.055066770361368186,0.6596245765686035,0.304280012845993
AZE,2012,501738.0,9295784.0,0.05397479115263436,0.6358007788658142,0.3127300143241882
AZE,2013,495756.0,9416801.0,0.05264590384781413,0.6059414148330688,
AZE,2014,488128.0,9535079.0,0.05119286374030042,0.7134441137313843,0.4597199857234955
AZE,2015,516989.0,9649341.0,0.05357764846324738,1.012688994407654,0.5710200071334839
AZE,2016,545871.0,9757812.0,0.055941946821685025,0.9819195866584778,
AZE,2017,588021.0,9854033.0,0.059673130788175766,0.8757737874984741,0.5999400019645691
AZE,2018,636923.0,9939771.0,0.064078236812498,0.7709139489586976,0.7014099955558777
AZE,2019,658998.0,10024283.0,0.06574016316179422,0.8041815126953388,0.7686799764633179
AZE,2020,662952.0,10093121.0,0.06568354823052255,0.8061398686380603,0.9549199938774109
AZE,2021,660542.0,10137750.0,0.06515666691326971,0.6331739682757673,0.9859799742698669
AZE,2022,640055.0,10141756.0,0.06311086561341053,0.5394972259273717,1.061630010604858
AZE,2023,614841.0,10153958.0,0.06055185573940723,0.5561927718679246,1.32709002494812
AZE,2024,571802.0,10202830.0,0.05604347029206602,,1.564820051193237
AZE,2025,587924.0,,,,
BDI,2010,1368648.0,9376444.0,0.14596663724542056,1.384127020835876,1.106889963150024
BDI,2011,1431237.0,9717978.0,0.14727724224113287,,1.230340003967285
BDI,2012,1507985.0,10071028.0,0.14973496250829607,,1.239719986915588
BDI,2013,1593685.0,10439341.0,0.15266145631223274,0.7099999785423279,1.242609977722168
BDI,2014,1685657.0,10799785.0,0.1560824590489533,,1.398280024528503
BDI,2015,1783052.0,11047580.0,0.16139751873260932,,1.659759998321533
BDI,2016,1876235.0,11239451.0,0.16693297564089207,,1.785419940948486
BDI,2017,1976839.0,11506762.0,0.17179802623883245,,1.900130033493042
BDI,2018,2082254.0,11859446.0,0.17557767875497726,,2.041379928588867
BDI,2019,2179703.0,12255336.0,0.17785746551542936,,2.121639966964722
BDI,2020,2264662.0,12617036.0,0.17949239425170857,,2.179359912872314
BDI,2021,2341155.0,12965481.0,0.18056831057791067,,
BDI,2022,2407201.0,13321097.0,0.18070591333431474,,
BDI,2023,2459521.0,13689450.0,0.17966543579179586,,
BDI,2024,2497830.0,14047786.0,0.1778095138977772,,
BDI,2025,2500349.0,,,,3.072329998016357
BEL,2010,715751.0,10895586.0,0.06569183153618355,0.6343454122543335,53.82946014404297
BEL,2011,726832.0,11038264.0,0.0658465860211352,0.6235960125923157,53.75553131103516
BEL,2012,733184.0,11106932.0,0.06601138820333104,0.6151809096336365,53.59309005737305
BEL,2013,740507.0,11159407.0,0.06635719980461327,0.6255530118942261,54.25793838500977
BEL,2014,750273.0,11209057.0,0.06693453338670684,0.5813155770301819,54.32501983642578
BEL,2015,765431.0,11274196.0,0.06789229138822848,0.5927644968032837,53.99166107177734
BEL,2016,781327.0,11331422.0,0.06895224624058657,0.5916153192520142,53.97158050537109
BEL,2017,793140.0,11375158.0,0.06972562491000125,0.587421178817749,54.43436813354492
BEL,2018,801203.0,11427054.0,0.07011457196229229,0.5494164824485779,54.22021865844727
BEL,2019,805796.0,11488980.0,0.0701364263842395,0.5367264747619629,54.17837142944336
BEL,2020,807065.0,11538604.0,0.06994476974857618,0.5855429172515869,54.22161865234375
BEL,2021,803784.0,11586195.0,0.0693742855182396,0.6019296050071716,54.1244010925293
BEL,2022,798119.0,11680210.0,0.06833087761264567,0.2311999946832657,54.06760025024414
BEL,2023,797575.0,11779946.0,0.06770616775323078,,53.93854141235352
BEL,2024,790278.0,11858610.0,0.06664170589976397,,
BEN,2010,1585110.0,9797484.0,0.1617874548200334,,13.19647026062012
BEN,2011,1629470.0,10093623.0,0.16143559156112725,3.460799932479858,15.74330043792725
BEN,2012,1676360.0,10397657.0,0.1612247836219256,,16.39517974853516
BEN,2013,1728914.0,10708834.0,0.16144745543725864,3.699501991271973,16.96220016479492
BEN,2014,1782597.0,11030004.0,0.16161345000418859,,18.4814395904541
BEN,2015,1834715.0,11360681.0,0.16149692082719336,,22.10514068603516
BEN,2016,1885132.0,11697842.0,0.1611521167750428,,22.73825073242188
BEN,2017,1936130.0,12039780.0,0.16081107794328467,,23.23035049438477
BEN,2018,1989146.0,12383347.0,0.16063072447214796,,25.34745979309082
BEN,2019,2042068.0,12726755.0,0.16045472706907613,,27.5957202911377
BEN,2020,2098104.0,13070169.0,0.16052615693033503,,25.4927806854248
BEN,2021,2158080.0,13413417.0,0.16088965250241605,,25.01737022399902
BEN,2022,2219359.0,13759501.0,0.1612964743416204,,25.78261947631836
BEN,2023,2279532.0,14111034.0,0.16154252055519105,,
BEN,2024,2334368.0,14462724.0,0.16140583198573105,,
BEN,2025,2379920.0,,,,
BFA,2010,2679950.0,16176498.0,0.16566935562938281,,14.16574001312256
BFA,2011,2765877.0,16661908.0,0.16600001632466102,,14.47675037384033
BFA,2012,2859211.0,17172287.0,0.16650146832509846,,15.57091045379639
BFA,2013,2961227.0,17695409.0,0.16734436598781074,,16.48258018493652
BFA,2014,3067895.0,18229461.0,0.1682932369750263,,17.31621932983398
BFA,2015,3178921.0,18777487.0,0.1692942724444437,0.3583971858024597,18.28388977050781
BFA,2016,3286996.0,19334856.0,0.17000364523014808,0.446961909532547,19.4559497833252
BFA,2017,3397095.0,19894407.0,0.17075628341171467,0.4702306985855103,20.09312057495117
BFA,2018,3503815.0,20438288.0,0.1714338793934208,0.5494964122772217,20.29640960693359
