iso3,year,education_nec_pct,education_not_definable_by_level_pct,education_total_pct,post_secondary_non_tertiary_pct,ecd_and_primary_pct,education_rnd_pct,secondary_pct,education_subsidiary_services_pct,tertiary_pct
DNK,2018,0.014182940480972,0.01742402215362177,1.0,0.0,0.43689316461091976,0.006265682076752784,0.26567900807501627,0.00914744947892805,0.25040773312378906
DNK,2019,0.014306539745890141,0.018091924754647413,1.0,0.0,0.44895021961510323,0.007415830006633024,0.2473540353150591,0.009459788190961367,0.25442173105078864
DNK,2020,0.014505109246777222,0.018388102222967495,1.0,0.0,0.46303249484407766,0.0066280008505327,0.23723687508751676,0.009625195129835892,0.25058422261829233
DNK,2021,0.015763289701420356,0.017909750625020347,1.0,0.0,0.45924101104300125,0.006058216133451245,0.23255798249254359,0.009872222593293062,0.2585975274112701
DNK,2022,0.016094539221152213,0.01930225957022848,1.0,0.0,0.4642972952018063,0.006189841622316241,0.23056615197584773,0.010836284414921087,0.25271362799372815
DNK,2023,0.016578144556527355,0.019592182560310926,1.0,0.0,0.46097767611766355,0.006821797414450258,0.22620227791978922,0.011400696335364651,0.2584271605761893
DNK,2024,0.016820106231083685,0.019023929136931836,1.0,0.0,0.4589405499598639,0.0065397026026972485,0.2249521795172122,0.01144946502238967,0.2622740675298214
DOM,2000,,,1.0,,0.0,,0.0,,0.0
DOM,2002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DOM,2003,,,1.0,,0.0,,0.0,,0.0
DOM,2014,0.3723067661251283,0.04038370615635476,1.0,0.11007752584012864,0.3419740748946588,0.0005509032492085163,0.08912721754329667,,0.04557980619122411
DOM,2015,0.22569542344177967,0.04732052058462128,1.0,0.06014699400485451,0.3803884436504456,0.0006309850733141281,0.08983892827019534,0.08903485806159514,0.10694384691319687
DOM,2016,0.1604467305473286,0.0434345838113696,1.0,0.06791256749141189,0.416599022043969,0.0007285886806740468,0.10693112976959636,0.09862720184456905,0.105320175811085
DOM,2017,0.1770544571512093,0.039673454650831774,1.0,0.06228811402851232,0.3869691228175485,0.0008520033623313242,0.10001479278393581,0.11432594802101724,0.11882210718461407
DOM,2018,0.16797034998616886,0.0383672773785319,1.0,0.0715152310467246,0.4151869626820435,0.0010613258777650736,0.10294777261941525,0.09879275114061495,0.10415832926873518
DOM,2019,0.18276523934550606,0.03317598886989899,1.0,0.07207837012961466,0.40605401441776734,0.0012371160757706622,0.1053637863157935,0.10604503488825165,0.09328044995739955
DOM,2020,0.22995376215887012,0.026361609452672012,1.0,0.06735168686894974,0.37553709876552765,0.0010047588211342837,0.10216887635524143,0.11581790411140203,0.08180430346620421
DOM,2021,0.1446099126904496,0.028664129856688467,1.0,0.06298203727319371,0.4383169389959903,0.001090331064540751,0.13363423331532429,0.09552235361442603,0.09518006318938693
DOM,2022,0.11889163825575808,0.02856118267853681,1.0,0.06251407416745595,0.44386446708791283,0.001014043029566744,0.14001421492642735,0.10890082401408142,0.09623955584026055
DOM,2023,0.14886101777303187,0.023562381091892723,1.0,0.06320701764673706,0.44181536507185143,0.004608087306690938,0.11776314766612091,0.10745024153892692,0.09273274190474746
DOM,2024,0.19372442384249208,0.01588528990452796,1.0,0.06373117254448961,0.4105304663618621,0.005588661733485461,0.1074314107556807,0.11677360398274363,0.08633497087471743
DZA,2006,,,1.0,,0.3763646079853432,,0.14662696897982044,,0.2607069241926866
DZA,2007,,,1.0,,0.3551480412015677,,0.13935697970090055,,0.29091065810455485
DZA,2008,,,1.0,,0.37226289859039213,,0.15570685643903115,,0.2590324346517038
DZA,2009,,,1.0,,0.3919580844519562,,0.14241181212698154,,0.2630594388926954
ECU,2013,0.1033610862479442,0.0,1.0,0.033828666476560514,0.38051808023108935,0.0024985327970949538,0.22359056444770575,0.02320634579747642,0.23299672400213045
ECU,2014,0.14103705276359182,0.0,1.0,1.9373088567106393e-05,0.3562818481187993,0.004293120738520885,0.16422172866533055,0.09583458386273107,0.23831229276246332
ECU,2015,0.18254171806337563,0.0,1.0,0.0015978983405182056,0.3941354346793146,0.005960206082879249,0.1681711420402271,0.022079652054483034,0.22551394873920386
