iso3,year,pcr_modelled_pct,pcr_pct,pcr_wpia
JOR,2013,97.79000091552734,97.92999999999999,0.9906003475189209
JOR,2014,97.81999969482422,,
JOR,2015,97.8499984741211,,
JOR,2016,97.88999938964844,,
JOR,2017,97.94999694824219,96.60735321044922,0.9218500256538391
JOR,2018,98.02999877929688,,
JOR,2019,98.08999633789062,,
JOR,2020,98.16000366210938,,
JOR,2021,98.2300033569336,,
JOR,2022,98.30999755859375,,
JOR,2023,98.37999725341797,96.54766082763672,0.9095199704170227
JOR,2024,98.45999908447266,,
JOR,2025,98.52999877929688,,
JPN,2010,100.0,,
JPN,2011,100.0,,
JPN,2012,100.0,,
JPN,2013,100.0,,
JPN,2014,100.0,,
JPN,2015,100.0,,
JPN,2016,100.0,,
JPN,2017,100.0,,
JPN,2018,100.0,,
JPN,2019,100.0,,
JPN,2020,100.0,,
JPN,2021,100.0,,
JPN,2022,100.0,,
JPN,2023,100.0,,
JPN,2024,100.0,,
JPN,2025,100.0,,
KAZ,2010,99.56999969482422,,
KAZ,2011,99.58000183105469,99.78235626220703,0.9935899972915649
KAZ,2012,99.58000183105469,,
KAZ,2013,99.58000183105469,,
KAZ,2014,99.58000183105469,,
KAZ,2015,99.58000183105469,99.87547302246094,1.003780007362366
KAZ,2016,99.58000183105469,,
KAZ,2017,99.58999633789062,,
KAZ,2018,99.58999633789062,,
KAZ,2019,99.5999984741211,,
KAZ,2020,99.61000061035156,,
KAZ,2021,99.62999725341797,,
KAZ,2022,99.63999938964844,,
KAZ,2023,99.66000366210938,,
KAZ,2024,99.66999816894531,99.49510192871094,0.99440997838974
KAZ,2025,99.69000244140625,,
KEN,2010,68.9800033569336,,
KEN,2011,70.2300033569336,,
KEN,2012,71.2300033569336,,
KEN,2013,72.11000061035156,,
KEN,2014,72.87999725341797,84.14092254638672,0.654009997844696
KEN,2015,73.72000122070312,,
KEN,2016,74.75,,
KEN,2017,76.01000213623047,,
KEN,2018,77.58999633789062,,
KEN,2019,79.4000015258789,80.43219757080078,
KEN,2020,81.31999969482422,77.74044799804688,
KEN,2021,83.19000244140625,77.5457992553711,
KEN,2022,84.83999633789062,85.32025909423828,0.8253300189971924
KEN,2023,86.25,,
KEN,2024,87.4000015258789,90.77655792236328,
KEN,2025,88.36000061035156,,
KGZ,2010,99.19999694824219,,
KGZ,2011,99.22000122070312,,
KGZ,2012,99.25,99.58287811279297,1.004029989242554
KGZ,2013,99.26000213623047,,
KGZ,2014,99.2699966430664,99.26880645751953,0.982729971408844
KGZ,2015,99.29000091552734,,
KGZ,2016,99.30000305175781,,
KGZ,2017,99.30999755859375,,
KGZ,2018,99.31999969482422,99.21904754638672,1.008859992027283
KGZ,2019,99.31999969482422,,
KGZ,2020,99.33000183105469,,
KGZ,2021,99.33999633789062,,
KGZ,2022,99.36000061035156,,
KGZ,2023,99.37999725341797,99.44795227050781,0.9859799742698669
KGZ,2024,99.38999938964844,,
KGZ,2025,99.4000015258789,,
KHM,2010,62.68000030517578,71.06842803955078,0.485150009393692
KHM,2011,63.15999984741211,,
KHM,2012,63.86000061035156,,
KHM,2013,65.0199966430664,,
KHM,2014,66.79000091552734,72.28276824951172,0.5234100222587585
KHM,2015,68.97000122070312,,
KHM,2016,71.31999969482422,,
KHM,2017,73.5199966430664,,
KHM,2018,75.4000015258789,,
KHM,2019,76.8499984741211,78.16902160644531,
KHM,2020,78.0,,
KHM,2021,79.0,82.31659698486328,0.6891999840736389
KHM,2022,79.95999908447266,,
KHM,2023,80.91999816894531,,
KHM,2024,81.87000274658203,,
KHM,2025,82.7300033569336,,
KIR,2010,93.2300033569336,,
KIR,2011,93.30000305175781,,
KIR,2012,93.37000274658203,,
KIR,2013,93.44000244140625,,
KIR,2014,93.52999877929688,,
KIR,2015,93.6500015258789,,
KIR,2016,93.75,,
KIR,2017,93.83999633789062,,
KIR,2018,93.91000366210938,94.08631896972656,0.9224799871444702
KIR,2019,93.98999786376953,,
KIR,2020,94.08999633789062,,
KIR,2021,94.1500015258789,,
KIR,2022,94.19999694824219,,
KIR,2023,94.27999877929688,,
KIR,2024,94.3499984741211,,
KIR,2025,94.38999938964844,,
KOR,2010,99.94000244140625,,
KOR,2011,99.94999694824219,,
KOR,2012,99.95999908447266,100.0,
KOR,2013,99.97000122070312,,
KOR,2014,99.97000122070312,,
KOR,2015,99.9800033569336,,
KOR,2016,99.9800033569336,,
KOR,2017,99.98999786376953,,
KOR,2018,99.98999786376953,,
KOR,2019,100.0,,
KOR,2020,100.0,,
KOR,2021,100.0,,
KOR,2022,100.0,,
KOR,2023,100.0,,
KOR,2024,100.0,,
KOR,2025,100.0,,
LAO,2010,58.59999847412109,,
LAO,2011,59.45000076293945,,
LAO,2012,60.20000076293945,67.13764953613281,0.2865599989891052
LAO,2013,61.06000137329102,,
LAO,2014,61.86999893188477,,
LAO,2015,62.65000152587891,,
LAO,2016,63.41999816894531,,
LAO,2017,64.16000366210938,83.43331146240234,0.5894700288772583
LAO,2018,64.98999786376953,,
LAO,2019,65.72000122070312,,
LAO,2020,66.54000091552734,,
LAO,2021,67.3499984741211,,
LAO,2022,68.08000183105469,,
LAO,2023,68.81999969482422,87.65978240966797,0.6995199918746948
LAO,2024,69.5,,
LAO,2025,70.13999938964844,,
LBN,2018,,96.85648345947266,
LBR,2010,29.34000015258789,,
LBR,2011,29.3700008392334,,
LBR,2012,29.27000045776367,,
LBR,2013,29.1200008392334,34.24779891967773,0.1883099973201752
LBR,2014,28.94000053405762,,
LBR,2015,28.84000015258789,,
LBR,2016,28.80999946594238,11.21,
LBR,2017,28.71999931335449,,
LBR,2018,28.67000007629395,,
LBR,2019,28.59000015258789,30.5327091217041,0.1531299948692322
LBR,2020,28.59000015258789,,
LBR,2021,28.71999931335449,,
LBR,2022,29.04000091552734,,
LBR,2023,29.35000038146973,,
LBR,2024,29.61000061035156,,
LBR,2025,29.84000015258789,,
LCA,2010,98.9800033569336,,
LCA,2011,99.04000091552734,,
LCA,2012,99.08999633789062,99.5796127319336,0.9784299731254578
LCA,2013,99.13999938964844,,
LCA,2014,99.18000030517578,,
LCA,2015,99.2300033569336,,
LCA,2016,99.2699966430664,,
LCA,2017,99.30999755859375,,
LCA,2018,99.3499984741211,,
LCA,2019,99.38999938964844,,
LCA,2020,99.41999816894531,,
LCA,2021,99.47000122070312,,
LCA,2022,99.5,,
LCA,2023,99.52999877929688,,
LCA,2024,99.55000305175781,,
LCA,2025,99.58000183105469,,
LKA,2019,,98.5132064819336,
LKA,2022,,99.06436157226562,
LKA,2023,,99.61308288574219,
LSO,2010,59.68000030517578,,
LSO,2011,60.70000076293945,,
LSO,2012,61.72000122070313,,
LSO,2013,62.72000122070313,,
LSO,2014,63.91999816894531,64.9046630859375,0.5359699726104736
LSO,2015,65.37999725341797,,
LSO,2016,67.06999969482422,,
LSO,2017,68.87999725341797,,
LSO,2018,70.62000274658203,79.89167022705078,0.6030200123786926
LSO,2019,72.08000183105469,,
LSO,2020,73.45999908447266,,
LSO,2021,74.80000305175781,,
LSO,2022,76.19000244140625,,
LSO,2023,77.48999786376953,,
LSO,2024,78.68000030517578,87.86820983886719,0.7070500254631042
LSO,2025,79.77999877929688,,
LTU,2010,99.56999969482422,99.33999999999999,
LTU,2011,99.58000183105469,99.535,
LTU,2012,99.58000183105469,99.505,
LTU,2013,99.58999633789062,99.14,
LTU,2014,99.5999984741211,99.22999999999999,
LTU,2015,99.61000061035156,99.39,
LTU,2016,99.61000061035156,99.125,
LTU,2017,99.62000274658203,99.235,
LTU,2018,99.62999725341797,99.535,
LTU,2019,99.62999725341797,99.53,
LTU,2020,99.62999725341797,99.4,
LTU,2021,99.63999938964844,99.54499999999999,
LTU,2022,99.6500015258789,,
LTU,2023,99.66000366210938,,
LTU,2024,99.66000366210938,,
LTU,2025,99.66000366210938,,
LUX,2010,98.47000122070312,,
LUX,2011,98.45999908447266,,
LUX,2012,98.44999694824219,,
LUX,2013,98.44999694824219,,
LUX,2014,98.43000030517578,,
LUX,2015,98.44000244140625,,
LUX,2016,98.45999908447266,,
LUX,2017,98.4800033569336,,
LUX,2018,98.5,,
LUX,2019,98.5199966430664,,
LUX,2020,98.52999877929688,,
LUX,2021,98.55999755859375,98.26,
LUX,2022,98.56999969482422,,
LUX,2023,98.58999633789062,,
LUX,2024,98.5999984741211,,
LUX,2025,98.62000274658203,,
LVA,2010,99.5,98.855,
LVA,2011,99.51000213623047,99.3,
LVA,2012,99.51000213623047,98.985,
