COUNTRY,COUNTRY_label,TIME_PERIOD,"General public services, Transactions","Defence, Transactions","Public order and safety, Transactions","Economic affairs, Transactions","Environmental protection, Transactions","Housing and community amenities, Transactions","Health, Transactions","Recreation, culture and religion, Transactions","Education, Transactions","Social protection, Transactions",sector_sum_before_norm,sector_sum_pct
BGR,Bulgaria,2017,9.195117792566812,3.0910501586008063,7.106039448963131,11.915710918283281,1.9282950997559314,4.453250401790014,13.958543417555294,2.930774002523336,10.152908534981965,35.26831022497944,99.99939486024547,100.0
BGR,Bulgaria,2018,9.801863375376834,3.132643534238868,6.642574913012727,18.113811674900035,1.8948065828622764,2.8601239118549993,13.4292261564616,2.1770934654589214,9.552562869436205,32.39529351639754,99.99925815707437,100.0
BGR,Bulgaria,2019,9.801347341918937,3.2678811762071014,7.311827671439813,17.775937369000886,1.85652532649291,3.3527027250699657,12.740633441219003,1.849652791617028,10.48711048300345,31.556381674030913,100.00000228931879,100.00000000000001
BGR,Bulgaria,2020,8.501898792569317,3.5936359530036053,6.571366778123321,20.484930352095322,1.6800734235548305,1.828668904396979,14.143025239357016,2.06341947295407,9.501111804580791,31.63186927936475,100.00000200869856,100.0
BGR,Bulgaria,2021,11.877696785195344,3.915888464056974,6.498929665457825,15.837950140897144,1.8416958798599146,2.2961898163585817,14.027515977269859,2.2236765948330226,10.363820446413301,31.116636229658024,100.0000017277394,100.0
BGR,Bulgaria,2022,8.840681579819273,3.776288212166581,6.160639520783998,20.723249723295247,1.7928963052117257,2.1430639897953063,13.491530752848341,1.4979737287114396,9.43819405972695,32.13548212764113,99.99999855877316,100.0
BGR,Bulgaria,2023,8.117650455781794,3.7811535904929987,6.707862304396643,14.813449133930941,1.7543223084195239,2.589292110283969,14.19141953724955,1.9629794457453904,10.503049035917638,35.57882207778154,100.00000278573528,99.99999999999999
BHR,"Bahrain, Kingdom of",2016,5.687934154905981,18.7089169838464,20.292731992700176,2.9128345691046977,0.2464976470965208,10.092501833175984,11.029109041227851,3.926274705101259,13.997405018753655,13.105794054087477,70.34674891725712,100.00000000000001
BHR,"Bahrain, Kingdom of",2017,22.045543221953928,14.417025271003117,13.220483705886016,11.902648111601815,0.15578790226359018,3.7547429075507748,11.185062456529215,1.2957821344356315,11.003828254440414,11.019096034335513,99.99999999999987,100.0
BHR,"Bahrain, Kingdom of",2018,25.0979624279992,13.703131507504999,12.713788365438496,10.461622386889099,0.15651641219713397,3.3667788078496597,11.178974929059699,1.4595903489985098,10.7863931255064,11.075241688556797,100.00000000000001,99.99999999999999
BHR,"Bahrain, Kingdom of",2019,26.964868050172292,16.284863331666593,12.649940092447196,8.526300604831356,0.13208694790732897,3.000013179406119,9.126370560674776,1.3114778380243397,9.889412722020898,12.114666672849097,100.00000000000003,99.99999999999999
BHR,"Bahrain, Kingdom of",2020,26.805936742252705,15.457379626422204,11.873484505315904,8.715926350289111,0.15721175624184006,2.232939859841721,12.712835407285002,1.6946894401662704,8.412161261957422,11.937435050227803,99.99999999999997,99.99999999999997
BHS,"Bahamas, The",2016,28.926870770555187,3.5999151298772207,8.794438121714077,22.839322085083538,3.5997310439521306,0.11047813218662289,11.486041071591579,1.8855879273964018,13.181433568630718,5.576182149012512,100.00000000000001,99.99999999999999
BHS,"Bahamas, The",2017,30.694087411025688,4.124481291326044,7.803893737450325,19.790795647495116,4.196993173113659,0.08784525481630139,12.163866341777899,2.06374302026222,12.047169509345458,7.027124613387279,100.00000000000001,100.0
BHS,"Bahamas, The",2018,33.07577627336503,2.9436356831148047,8.755782617434603,18.843733775721365,3.6308766992741734,0.4414303524854986,11.981872948046979,1.5342009348702568,12.729893302225156,6.062797413462114,100.00000000000001,99.99999999999997
BHS,"Bahamas, The",2019,35.37868583830369,2.504625927327194,8.595355806124681,16.87363281899734,3.882225071255109,0.1295663683284692,12.754195231702289,1.268388994118789,12.68854766394405,5.924776279898388,100.0,99.99999999999999
BHS,"Bahamas, The",2020,35.3881675233337,2.325614623172579,8.567135719918216,14.184524523496936,5.400072507649292,0.13901642358861754,14.140172909316966,1.0967332998771755,12.691453860290828,6.067108609355678,100.00000000000003,99.99999999999997
BHS,"Bahamas, The",2021,30.79293190377646,2.058688601212225,7.163693806304944,14.21044515284216,4.339838730744762,0.12790854290242,15.128872481618922,0.8035665718945176,11.20955617035147,14.16449803835212,100.0,100.00000000000001
BHS,"Bahamas, The",2022,37.432550088196244,2.075747230340829,7.961700284944475,14.040576447259351,4.602865116830871,0.13746666757356274,13.866285370739591,0.83060656238675,9.818984537016268,9.233217694712065,99.99999999999999,100.0
BHS,"Bahamas, The",2023,38.59790093184556,2.23995837498135,8.062610466517132,15.12958045431698,4.397630732530879,0.1576154751666443,12.71829261707821,1.35668602140892,9.647157336197496,7.692567589956824,100.0,100.0
BHS,"Bahamas, The",2024,40.801140702135875,2.3657658610305936,8.290737017872697,14.794596038427152,2.3991159141759124,0.26187158253664855,11.707069238275311,1.5068644512974503,10.000491634939292,7.872347559309076,99.99999999999999,99.99999999999999
BLR,"Belarus, Republic of",2016,8.45161871485845,2.868125130439487,4.688364457799133,12.46988401157793,0.22664877960056592,6.073233674114187,12.16285823754934,3.112404953055803,13.57799612714735,36.36886591385776,100.0,100.0
BLR,"Belarus, Republic of",2017,11.00245502718574,2.811465652959734,5.590913503178186,13.24770192644443,0.2356688364603816,5.543760440150363,11.98832101277837,3.13885806221796,12.978702765836262,33.46215277278858,100.0,100.0
BLR,"Belarus, Republic of",2018,9.882213735874139,3.388263385286181,6.227947868102065,13.648772371615278,0.2592003055745524,5.549099900348158,11.619055822543999,3.6158272638284874,13.264040843828518,32.545578502998616,100.00000000000001,100.0
BLR,"Belarus, Republic of",2019,13.462757211668249,2.873504822670028,5.587671028412907,12.83993404979995,0.2330758848300958,3.9743807433149496,11.22580652437656,2.880861135081935,13.07826289192361,33.84374570792171,100.0,100.0
BLR,"Belarus, Republic of",2020,13.693386518541503,2.783209997484216,5.598283061773515,11.567143559481464,0.24995636584473468,5.292534513338887,12.684485845358923,2.563718263235365,12.870376112962035,32.696905761979366,99.99999999999997,100.0
BLR,"Belarus, Republic of",2021,14.676720089640375,2.6304087253671686,5.402996864805761,11.883246806330993,0.23080410438341276,3.441677901071131,14.029374437425263,2.334817171242224,12.362443657134893,33.0075102425988,99.99999999999997,100.00000000000001
BLR,"Belarus, Republic of",2022,11.346691442426518,3.325372657564202,5.714062890772389,13.274363354532777,0.2578933746024935,5.539091601490503,12.720249407562479,2.6184213245794976,12.81081129023299,32.39304265623614,100.00000000000001,100.0
BLR,"Belarus, Republic of",2023,9.36261009174614,3.3157062992228448,6.178021552835075,14.667101467821746,0.23490392513516217,6.294685535281211,12.887696821135128,2.7492798254130384,12.830345224193099,31.479649257216547,100.00000000000001,100.0
BLR,"Belarus, Republic of",2024,8.659727889614608,3.2764816825478134,6.068581291321075,15.07112852661624,0.2738275281932995,6.736824806074998,12.72117692039059,2.883407512632224,12.78897203628721,31.51987180632195,100.0,100.0
BRA,Brazil,2016,27.95382821630308,1.427431270478915,6.750001187934875,4.844386072329832,1.1797556337290724,1.9392076907370375,9.30406376561815,0.6229615540565151,11.132950976383592,34.84541363242893,99.99999999999972,100.0
BRA,Brazil,2017,26.22798139888393,1.5155693556693741,7.012205143704217,4.288910313819959,1.1453701005150352,1.6840299126331337,9.280522027347175,0.5615319735196259,11.324059523594608,36.95982025031293,100.00000010764198,100.0
BRA,Brazil,2018,26.053666970158257,1.5109438789811873,6.987167655461157,4.654786226270099,1.1780487307051448,1.7500992185652513,9.330177462324722,0.5802700503271171,11.261120316736923,36.69371949047013,99.99999999999952,99.99999999999999
BRA,Brazil,2019,23.152308083158747,1.5052797690655917,7.239951178929658,5.013980124652626,1.0852129924428087,1.8983347637830554,10.288822195914863,0.5804827743670823,10.935439133581069,38.30018898410451,99.99999999999929,100.0
